name,URL,city,state
Alabama Mineral & Lapidary Society,http://www.lapidaryclub.com/,Birmingham,Alabama
Dothan Gem & Mineral Club,http://www.wiregrassrockhounds.com/,Dothan,Alabama
Huntsville Gem and Mineral Society,http://huntsvillegms.org/,Huntsville,Alabama
Mobile Rock & Gem Society,http://www.mobilerockandgem.com/,Mobile,Alabama
Montgomery Gem & Mineral Society,http://montgomerygemandmineralsociety.com/mgms/,Montgomery,Alabama
Chugach Gem & Mineral Society,http://www.chugachgemandmineralsociety.com/,Anchorage,Alaska
Mat-Su Rock and Mineral Club,http://matsurockclub.com/,Palmer,Alaska
Apache Junction Rock and Gem Club,http://www.ajrockclub.com/,Apache Junction,Arizona
Black Canyon City Rock Club,http://www.bccrockclub.mysite.com/,Black Canyon City,Arizona
Daisy Mountain Rock & Mineral Club,http://www.dmrmc.com/,Anthem,Arizona
Gila County Gem & Mineral Society,http://gilagem.org/,Miami,Arizona
Huachuca Mineral and Gem Club,http://www.huachucamineralandgemclub.info/,Sierra Vista,Arizona
Lake Havasu Gem & Mineral Society,http://www.lakehavasugms.org/,Lake Havasu City,Arizona
Mineralogical Society of Arizona,http://www.msaaz.org/,Scottsdale,Arizona
Mingus Gem & Mineral Club,http://www.mingusclub.org/,Cottonwood,Arizona
Mohave County Gemstoners,http://www.gemstoners.org/,Kingman,Arizona
Old Pueblo Lapidary Club,http://www.lapidaryclub.org/,Tucson,Arizona
Prescott Gem & Mineral Club,http://www.prescottgemmineral.org/,Prescott Valley,Arizona
Quartzsite Roadrunners Gem & Mineral Club,http://www.qrgmc.org/,Quartzsite,Arizona
Rockhounds West,http://rockhounds.scwclubs.com/,Phoenix,Arizona
Sedona Gem & Mineral Club,http://www.sedonagemandmineral.org/,Sedona,Arizona
Silvery Colorado River Rock Club,http://scrrc.blogspot.com/,Bullhead City,Arizona
Sunsites Gem and Mineral Club,https://sites.google.com/site/cochisecountyrock/,Pearce,Arizona
Tucson Gem and Mineral Society,http://www.tgms.org/,Tucson,Arizona
Verde River Rockhounds,http://www.verderiverrockhounds.com/,Cottonwood,Arizona
West Valley Rock & Mineral Club,http://www.westvalleyrockandmineralclub.com/,Buckeye,Arizona
White Mountain Gem & Mineral Club,http://whitemountain-azrockclub.org/,Show Low,Arizona
Wickenburg Gem and Mineral Society,http://www.wickenburggms.org/,Wickenburg,Arizona
"Central Arkansas Gem, Mineral and Geology Society",http://www.centralarrockhound.org/,Little Rock,Arkansas
Northwest Arkansas Gem & Mineral Society,http://www.nwarockhounds.org/,Siloam Springs,Arkansas
"Ozark Earth Science Gem, Mineral & Fossil Club",https://www.ozarkearthscience.com/,Mountain Home,Arkansas
Amador County Gem & Mineral Society,http://www.amadorgemandmineral.org/,Sutter Creek,California
American Opal Society,http://www.opalsociety.org/,Anaheim,California
Antelope Valley Gem and Mineral Club,http://avgem.weebly.com/,Lancaster,California
Antioch Lapidary Club,http://www.antiochlapidaryclub.com/,Antioch,California
Borrego Rock and Gem Club,http://www.abdnha.org/bragclub.html,Borrego Springs,California
Calaveras Gem & Mineral Society,http://www.calaverasgemandmineral.org/,Angels Camp,California
Carmel Valley Gem and Mineral Society,http://www.cvgms.rocks/,Pacific Grove,California
Central Coast Treasure Hunters Association,http://www.cctha.org/,San Luis Obispo,California
