Rank,Title,Series,Number in series,Author,Score,Votes,Avg rating,Number of ratings
1,The Handmaid's Tale,,,Margaret Atwood,30733,314, 4.09,1103055
2,The Hunger Games ,The Hunger Games ,1,Suzanne Collins,28553,292, 4.33,5742381
3,Frankenstein,,,Mary Wollstonecraft Shelley,21909,224, 3.78,1023619
4,A Wrinkle in Time ,Time Quintet ,1,Madeleine L'Engle,18720,196, 4.01,903708
5,The Left Hand of Darkness ,Hainish Cycle ,,Ursula K. Le Guin,17920,184, 4.06,98822
6,Divergent ,Divergent ,1,Veronica Roth,13326,138, 4.21,2603197
7,Catching Fire ,The Hunger Games ,2,Suzanne Collins,12749,133, 4.29,2200976
8,The Giver ,The Giver ,1,Lois Lowry,12399,129, 4.12,1535391
9,Kindred,,,Octavia E. Butler,11070,116, 4.23,72373
10,The Dispossessed ,Hainish Cycle ,,Ursula K. Le Guin,10731,112, 4.21,71658
11,Oryx and Crake ,MaddAddam ,1,Margaret Atwood,10117,107, 4.01,197835
12,Mockingjay ,The Hunger Games ,3,Suzanne Collins,9807,104, 4.03,2072231
13,The Time Traveler's Wife,,,Audrey Niffenegger,9193,98, 3.96,1446878
14,Doomsday Book ,Oxford Time Travel ,1,Connie Willis,8935,96, 4.03,43257
15,The Lathe of Heaven,,,Ursula K. Le Guin,7775,84, 4.11,44005
16,Ancillary Justice ,Imperial Radch ,,Ann Leckie,7336,81, 3.98,66225
17,Shards of Honour  ,Vorkosigan Saga ,1,Lois McMaster Bujold,7017,75, 4.11,25887
18,To Say Nothing of the Dog ,Oxford Time Travel ,2,Connie Willis,6890,74, 4.13,29648
19,The Sparrow ,The Sparrow ,1,Mary Doria Russell,6873,72, 4.17,52761
20,Dragonflight ,Dragonriders of Pern ,1,Anne McCaffrey,6802,74, 4.10,116167
21,Parable of the Sower ,Earthseed ,1,Octavia E. Butler,6653,71, 4.16,42267
22,The Warrior's Apprentice ,Vorkosigan Saga ,2,Lois McMaster Bujold,6087,65, 4.29,20959
23,Barrayar ,Vorkosigan Saga ,7,Lois McMaster Bujold,5623,60, 4.31,22112
24,The Host ,The Host ,1,Stephenie Meyer,5274,56, 3.84,829055
25,Insurgent ,Divergent ,2,Veronica Roth,4899,54, 4.05,1045924
26,Memory ,Vorkosigan Saga ,10,Lois McMaster Bujold,4682,51, 4.45,13950
27,The Children of Men,,,P.D. James,4484,49, 3.68,36108
28,Starshine: Aurora Rising Book One ,Aurora Rhapsody ,1,G.S. Jennsen,4394,45, 3.91,2147
29,The Year of the Flood  ,MaddAddam ,2,Margaret Atwood,4343,47, 4.06,92243
